"Day","OldTestament","NewTestament","Wisdom"
"172","1 Chronicles 14-15","Romans 6","Psalms 86"
"173","1 Chronicles 16-17","Romans 7",""
"174","1 Chronicles 18-19","","Psalms 87"
"175","1 Chronicles 20-21","Romans 8",""
"176","1 Chronicles 22-23","Romans 9","Psalms 88"
"177","1 Chronicles 24-25","Romans 10",""
"178","1 Chronicles 26-27","","Psalms 89"
"179","1 Chronicles 28-29","Romans 11",""
"180","2 Chronicles 1-2","Romans 12","Psalms 90"
"181","2 Chronicles 3-4","",""
"182","2 Chronicles 5-6","Romans 13","Psalms 91"
"183","2 Chronicles 7-9","Romans 14",""
"184","2 Chronicles 10-11","Romans 15","Psalms 92"
"185","2 Chronicles 12-13","",""
"186","2 Chronicles 14-15","Romans 16","Psalms 93"
"187","2 Chronicles 16-17","1 Corinthians 1",""
"188","2 Chronicles 18-19","","Psalms 94"
"189","2 Chronicles 20-21","1 Corinthians 2",""
"190","2 Chronicles 22-23","1 Corinthians 3","Psalms 95"
"191","2 Chronicles 24-25","1 Corinthians 4",""
"192","2 Chronicles 26-27","","Psalms 96"
"193","2 Chronicles 28-29","1 Corinthians 5",""
"194","2 Chronicles 30-31","1 Corinthians 6","Psalms 97"
"195","2 Chronicles 32-33","",""
"196","2 Chronicles 34-35","1 Corinthians 7","Psalms 98"
"197","2 Chronicles 36; Ezra 1","1 Corinthians 8",""
"198","Ezra 2-3","1 Corinthians 9","Psalms 99"
"199","Ezra 4-5","",""
"200","Ezra 6-7","1 Corinthians 10","Psalms 100"
"201","Ezra 8-9","1 Corinthians 11",""
"202","Ezra 10; Nehemiah 1","","Psalms 101"
"203","Nehemiah 2-4","1 Corinthians 12",""
"204","Nehemiah 5-6","1 Corinthians 13","Psalms 102"
"205","Nehemiah 7-8","1 Corinthians 14",""
"206","Nehemiah 9-10","","Psalms 103"
"207","Nehemiah 11-12","1 Corinthians 15",""
"208","Nehemiah 13; Esther 1","1 Corinthians 16","Psalms 104"
"209","Esther 2-3","",""
"210","Esther 4-5","2 Corinthians 1","Psalms 105"
"211","Esther 6-7","2 Corinthians 2",""
"212","Esther 8-9","2 Corinthians 3","Psalms 106"
"213","Esther 10; Job 1","",""
"214","Job 2-3","2 Corinthians 4","Psalms 107"
"215","Job 4-5","2 Corinthians 5",""
"216","Job 6-7","","Psalms 108"
"217","Job 8-9","2 Corinthians 6",""
"218","Job 10-11","2 Corinthians 7","Psalms 109"
"219","Job 12-13","",""
"220","Job 14-15","2 Corinthians 8","Psalms 110"
"221","Job 16-17","2 Corinthians 9",""
"222","Job 18-19","2 Corinthians 10","Psalms 111"
"223","Job 20-21","",""
"224","Job 22-24","2 Corinthians 11","Psalms 112"
"225","Job 25-26","2 Corinthians 12",""
"226","Job 27-28","","Psalms 113"
"227","Job 29-30","2 Corinthians 13",""
"228","Job 31-32","Galatians 1","Psalms 114"
"229","Job 33-34","Galatians 2",""
"230","Job 35-36","","Psalms 115"
"231","Job 37-38","Galatians 3",""
"232","Job 39-40","Galatians 4","Psalms 116"
"233","Job 41-42","",""
"234","Ecclesiastes 1-2","Galatians 5","Psalms 117"
"235","Ecclesiastes 3-4","Galatians 6",""
"236","Ecclesiastes 5-6","Ephesians 1","Psalms 118"
"237","Ecclesiastes 7-8","",""
"238","Ecclesiastes 9-10","Ephesians 2","Psalms 119"
"239","Ecclesiastes 11-12","Ephesians 3",""
"240","Song of Solomon 1-2","","Psalms 120"
"241","Song of Solomon 3-4","Ephesians 4",""
"242","Song of Solomon 5-6","Ephesians 5","Psalms 121"
"243","Song of Solomon 7-8","Ephesians 6",""
"244","Isaiah 1-3","",""
"245","Isaiah 4-5","Philippians 1","Psalms 122"
"246","Isaiah 6-7","Philippians 2",""
"247","Isaiah 8-9","","Psalms 123"
"248","Isaiah 10-11","Philippians 3",""
"249","Isaiah 12-13","Philippians 4","Psalms 124"
"250","Isaiah 14-15","Colossians 1",""
"251","Isaiah 16-17","","Psalms 125"
"252","Isaiah 18-19","Colossians 2",""
"253","Isaiah 20-21","Colossians 3","Psalms 126"
"254","Isaiah 22-23","",""
"255","Isaiah 24-25","Colossians 4","Psalms 127"
"256","Isaiah 26-27","1 Thessalonians 1",""
"257","Isaiah 28-29","1 Thessalonians 2","Psalms 128"
"258","Isaiah 30-31","",""
"259","Isaiah 32-33","1 Thessalonians 3","Psalms 129"
"260","Isaiah 34-35","1 Thessalonians 4",""
"261","Isaiah 36-37","","Psalms 130"
"262","Isaiah 38-39","1 Thessalonians 5",""
"263","Isaiah 40-41","2 Thessalonians 1","Psalms 131"
"264","Isaiah 42-44","2 Thessalonians 2",""
"265","Isaiah 45-46","","Psalms 132"
"266","Isaiah 47-48","2 Thessalonians 3",""
"267","Isaiah 49-50","1 Timothy 1","Psalms 133"
"268","Isaiah 51-52","",""
"269","Isaiah 53-54","1 Timothy 2","Psalms 134"
"270","Isaiah 55-56","1 Timothy 3",""
"271","Isaiah 57-58","1 Timothy 4","Psalms 135"
"272","Isaiah 59-60","",""
"273","Isaiah 61-62","1 Timothy 5","Psalms 136"
"274","Isaiah 63-64","1 Timothy 6",""
"275","Isaiah 65-66","","Psalms 137"
"276","Jeremiah 1-2","2 Timothy 1",""
"277","Jeremiah 3-4","2 Timothy 2","Psalms 138"
"278","Jeremiah 5-6","2 Timothy 3",""
"279","Jeremiah 7-8","","Psalms 139"
"280","Jeremiah 9-10","2 Timothy 4",""
"281","Jeremiah 11-12","Titus 1","Psalms 140"
"282","Jeremiah 13-14","",""
"283","Jeremiah 15-16","Titus 2","Psalms 141"
"284","Jeremiah 17-19","Titus 3",""
"285","Jeremiah 20-21","Philemon 1","Psalms 142"
"286","Jeremiah 22-23","",""
"287","Jeremiah 24-25","Hebrews 1","Psalms 143"
"288","Jeremiah 26-27","Hebrews 2",""
"289","Jeremiah 28-29","","Psalms 144"
"290","Jeremiah 30-31","Hebrews 3",""
"291","Jeremiah 32-33","Hebrews 4","Psalms 145"
"292","Jeremiah 34-35","",""
"293","Jeremiah 36-37","Hebrews 5","Psalms 146"
"294","Jeremiah 38-39","Hebrews 6",""
"295","Jeremiah 40-41","Hebrews 7","Psalms 147"
"296","Jeremiah 42-43","",""
"297","Jeremiah 44-45","Hebrews 8","Psalms 148"
"298","Jeremiah 46-47","Hebrews 9",""
"299","Jeremiah 48-49","","Psalms 149"
"300","Jeremiah 50-51","Hebrews 10",""
"301","Jeremiah 52; Lamentations 1","Hebrews 11","Psalms 150"
"302","Lamentations 2-3","Hebrews 12",""
"303","Lamentations 4-5","","Proverbs 1"
"304","Ezekiel 1-2","Hebrews 13",""
"305","Ezekiel 3-5","James 1","Proverbs 2"
"306","Ezekiel 6-7","",""
"307","Ezekiel 8-9","James 2","Proverbs 3"
"308","Ezekiel 10-11","James 3",""
"309","Ezekiel 12-13","James 4","Proverbs 4"
"310","Ezekiel 14-15","",""
"311","Ezekiel 16-17","James 5","Proverbs 5"
"312","Ezekiel 18-19","1 Peter 1",""
"313","Ezekiel 20-21","","Proverbs 6"
"314","Ezekiel 22-23","1 Peter 2",""
"315","Ezekiel 24-25","1 Peter 3","Proverbs 7"
"316","Ezekiel 26-27","1 Peter 4",""
"317","Ezekiel 28-29","","Proverbs 8"
"318","Ezekiel 30-31","1 Peter 5",""
"319","Ezekiel 32-33","2 Peter 1","Proverbs 9"
"320","Ezekiel 34-35","",""
"321","Ezekiel 36-37","2 Peter 2","Proverbs 10"
"322","Ezekiel 38-39","2 Peter 3",""
"323","Ezekiel 40-41","1 John 1","Proverbs 11"
"324","Ezekiel 42-43","",""
"325","Ezekiel 44-46","1 John 2","Proverbs 12"
"326","Ezekiel 47-48","1 John 3",""
"327","Daniel 1-2","","Proverbs 13"
"328","Daniel 3-4","1 John 4",""
"329","Daniel 5-6","1 John 5","Proverbs 14"
"330","Daniel 7-8","2 John 1",""
"331","Daniel 9-10","","Proverbs 15"
"332","Daniel 11-12","3 John 1",""
"333","Hosea 1-2","Jude 1","Proverbs 16"
"334","Hosea 3-4","",""
"335","Hosea 5-6","Revelation 1","Proverbs 17"
"336","Hosea 7-8","Revelation 2",""
"337","Hosea 9-10","Revelation 3","Proverbs 18"
"338","Hosea 11-12","",""
"339","Hosea 13-14","Revelation 4","Proverbs 19"
"340","Joel 1-2","Revelation 5",""
"341","Joel 3; Amos 1","","Proverbs 20"
"342","Amos 2-3","Revelation 6",""
"343","Amos 4-5","Revelation 7","Proverbs 21"
"344","Amos 6-7","Revelation 8",""
"345","Amos 8-9; Obadiah 1","","Proverbs 22"
"346","Jonah 1-2","Revelation 9",""
"347","Jonah 3-4","Revelation 10","Proverbs 23"
"348","Micah 1-2","",""
"349","Micah 3-4","Revelation 11","Proverbs 24"
"350","Micah 5-6","Revelation 12",""
"351","Micah 7; Nahum 1","Revelation 13","Proverbs 25"
"352","Nahum 2-3","",""
"353","Habakkuk 1-2","Revelation 14","Proverbs 26"
"354","Habakkuk 3; Zephaniah 1","Revelation 15",""
"355","Zephaniah 2-3","","Proverbs 27"
"356","Haggai 1-2","Revelation 16",""
"357","Zechariah 1-2","Revelation 17","Proverbs 28"
"358","Zechariah 3-4","Revelation 18",""
"359","Zechariah 5-6","","Proverbs 29"
"360","Zechariah 7-8","Revelation 19",""
"361","Zechariah 9-10","Revelation 20","Proverbs 30"
"362","Zechariah 11-12","",""
"363","Zechariah 13-14","Revelation 21","Proverbs 31"
"364","Malachi 1-2","Revelation 22",""
"365","Malachi 3-4","",""
